SITE_ABREVIATION,COLLECTION DATE,TRAP_NUMBER,FAMILY,Daily Biomass Flux (mg DW /m^2/day),
BN,5/31/10,1,Chironomidae,32.245,
BN,5/31/10,1,Ephydridae,1.280,
BN,5/31/10,1,Psychomiidae,1.173,
BN,5/31/10,1,Scathophagidae,1.280,
BN,5/31/10,1,Carabidae,0.427,
BN,5/31/10,2,Ceratopogonidae,0.213,
BN,5/31/10,2,Chironomidae,43.342,
BN,5/31/10,2,Ephydridae,1.067,
BN,5/31/10,3,Carabidae,0.320,
BN,5/31/10,3,Simuliidae,0.747,
BN,5/31/10,3,Chironomidae,8.378,
BN,5/31/10,4,Muscidae,0.747,
BN,5/31/10,4,Chironomidae,3.360,
BN,5/31/10,4,Pompilidae,0.107,
BN,5/31/10,4,Scelionidae,5.013,
BN,5/31/10,5,Chironomidae,5.248
BN,5/31/10,5,Ephydridae,0.107
BN,5/31/10,5,Scathophagidae,1.493
BN,6/7/10,1,Curculiondae,0.200
BN,6/7/10,1,Chironomidae,39.357
BN,6/7/10,1,Ephydridae,0.500
BN,6/7/10,1,Figitidae,0.100
BN,6/7/10,1,Hydropsychidae,1.300
BN,6/7/10,1,Scelionidae,1.200
BN,6/7/10,1,Simuliidae,0.600
BN,6/7/10,2,Chironomidae,1.600
BN,6/7/10,3,Chrysomelidae,0.300
BN,6/7/10,3,Hydropsychidae,1.000
BN,6/7/10,3,Chironomidae,7.758
BN,6/7/10,3,Braconidae,0.500
BN,6/7/10,4,Ceratopogonidae,0.100
BN,6/7/10,4,Ephydridae,0.300,,,
BN,6/7/10,4,Chironomidae,2.900,,,
BN,6/7/10,5,Chironomidae,7.000,,,
BN,6/10/10,1,Dipseudopsidae,2.667,,,
BN,6/10/10,1,Ephydridae,1.200,,,
BN,6/10/10,1,Pompilidae,0.400,,,
BN,6/10/10,1,Scathophagidae,2.800,,,
BN,6/10/10,1,Chironomidae,35.156,,,
BN,6/10/10,2,Chironomidae,2.383,,,
BN,6/10/10,3,Chironomidae,10.256,,,
BN,6/10/10,4,Scelionidae,1.333,,,
BN,6/10/10,4,Muscidae,1.067,,,
BN,6/10/10,5,Chironomidae,2.400,,,
BN,6/14/10,1,Chironomidae,20.322,,,
BN,6/14/10,1,Ephydridae,0.200,,,
BN,6/14/10,2,Chironomidae,1.600,,,
BN,6/14/10,2,Ceratopogonidae,0.100
BN,6/14/10,3,Chironomidae,12.696
BN,6/14/10,3,Phoridae,0.300
BN,6/14/10,4,Chironomidae,13.200
BN,6/14/10,4,Ephydridae,1.200
BN,6/14/10,5,Chironomidae,5.833
BN,6/17/10,1,Dipseudopsidae,1.333
BN,6/17/10,1,Hydroptilidae,0.133
BN,6/17/10,1,Muscidae,0.533
BN,6/17/10,1,Syrphidae,0.400
BN,6/17/10,1,Scathophagidae,1.467
BN,6/17/10,1,Chironomidae,5.943
